country,iso3,continent,lat_grid,lon_grid,inform_risk_score,risk_label,eq_count,eq_mag_mean,eq_depth_mean,has_seismic_activity,eq_frequency_score,seismic_energy_proxy,mag_depth_ratio,depth_category,lat_abs,neighbor_eq_count
United States of America,USA,North America,69.5,-153.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,69.5,0.01336976945505037
United States of America,USA,North America,70.5,-153.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,70.5,0.001091697901048198
United States of America,USA,North America,57.5,-152.5,3.2,Low,1,4.7,1.0,1,0.6931471805599453,11220184.543019652,2.35,1,57.5,0.7502697340566984
United States of America,USA,North America,60.5,-152.5,3.2,Low,15,4.9133,104.86,1,2.772588722239781,23439589.415391643,0.046413187228414886,2,60.5,2.019189794119553
United States of America,USA,North America,61.5,-152.5,3.2,Low,6,4.9167,134.2,1,1.9459101490553132,23716467.358654637,0.03636612426035503,2,61.5,1.9760464164404037
United States of America,USA,North America,62.5,-152.5,3.2,Low,2,4.5,142.7,1,1.0986122886681098,5623413.251903491,0.031315240083507306,2,62.5,1.6202360311531223
United States of America,USA,North America,63.5,-152.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,63.5,1.2223961553919018
United States of America,USA,North America,64.5,-152.5,3.2,Low,3,4.7667,22.4,1,1.3862943611198906,14127001.783792041,0.20370512820512823,1,64.5,0.8860990182365236
United States of America,USA,North America,65.5,-152.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,65.5,0.5712895313540928
United States of America,USA,North America,66.5,-152.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.258570828008787
United States of America,USA,North America,67.5,-152.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,67.5,0.07073733435985306
United States of America,USA,North America,68.5,-152.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,68.5,0.016943153918865358
United States of America,USA,North America,69.5,-152.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,69.5,0.0030639254560455896
