country,iso3,continent,lat_grid,lon_grid,inform_risk_score,risk_label,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean
United States of America,USA,North America,63.5,-148.5,3.2,Low,5,4.92,5.5,58.82
United States of America,USA,North America,64.5,-148.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,65.5,-148.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,66.5,-148.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,67.5,-148.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-148.5,3.2,Low,1,5.4,5.4,20.7
United States of America,USA,North America,69.5,-148.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,61.5,-147.5,3.2,Low,4,4.65,4.8,35.4
United States of America,USA,North America,62.5,-147.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,63.5,-147.5,3.2,Low,20,4.96,7.9,5.57
United States of America,USA,North America,64.5,-147.5,3.2,Low,2,4.6,4.7,7.35
United States of America,USA,North America,65.5,-147.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,66.5,-147.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,67.5,-147.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-147.5,3.2,Low,1,4.5,4.5,20.0
United States of America,USA,North America,69.5,-147.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,61.5,-146.5,3.2,Low,7,4.6429,5.1,33.1714
United States of America,USA,North America,62.5,-146.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,63.5,-146.5,3.2,Low,1,5.1,5.1,4.8
United States of America,USA,North America,64.5,-146.5,3.2,Low,2,4.85,4.9,6.85
United States of America,USA,North America,65.5,-146.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,66.5,-146.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,67.5,-146.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-146.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-146.5,3.2,Low,2,4.85,5.1,5.85
United States of America,USA,North America,60.5,-145.5,3.2,Low,3,5.1,5.4,9.9667
United States of America,USA,North America,61.5,-145.5,3.2,Low,1,4.8,4.8,41.4
United States of America,USA,North America,62.5,-145.5,3.2,Low,2,4.5,4.5,19.7
United States of America,USA,North America,63.5,-145.5,3.2,Low,17,5.0,5.6,4.4412
United States of America,USA,North America,64.5,-145.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,65.5,-145.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,66.5,-145.5,3.2,Low,0,0.0,0.0,0.0
